Description,Designator,Quantity,LCSC

"CAPACITOR,CERAMIC,100nF,50V,X7R,0603","C1, C2, C3, C4, C5, C6, C7, C9, C10, C11, C14, C17, C18, C21, C24, C25, C27, C29, C30, C31, C32, C33, C35, C38, C39, C41, C43, C44","28","C14663"
"CAPACITOR,CERAMIC,4u7,16V,X5R,0603","C8, C12, C13, C15, C16, C19, C20, C22, C23, C26, C28, C34, C36, C37, C40, C42","16","C19666"
"LED,SMD,WHITE,42mCd,0603","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","10","C2290"
"DIODE,TVS,DUAL,NIDIRETIONAL,USB,PESD2USB5UX-TR,SOT23","D11","1","C3709087"
"FERRITE,1KZ@100MHz,0R2DC,0603","FB1, FB2","2","C160982"
"CONN,BOXHEADER,2X5,ALTERA JTAG PINOUT","J2","1",""
"CONN,HEADER,1x3,2.54mm","J3","1","C429954"
"CONN,USB2.0,B,RA,BLUE","J4","1","C720549"
"CONN,HEADER,2X8,2.54mm","J5_U_CPLD-V-HEADERBANK1, J5_U_CPLD-V-HEADERBANK2, J5_U_CPLD-V-HEADERBANK3, J5_U_CPLD-V-HEADERBANK4, J5_U_CPLD-V-HEADERBANK5, J5_U_CPLD-V-HEADERBANK6","6","C42431826"
"CONN,HEADER,2X10,2.54mm","J6_U_CPLD-V-HEADERBANK1, J6_U_CPLD-V-HEADERBANK2, J6_U_CPLD-V-HEADERBANK3, J6_U_CPLD-V-HEADERBANK4, J6_U_CPLD-V-HEADERBANK5, J6_U_CPLD-V-HEADERBANK6","6","C5383109"
"CONN,DCPOWER,BARREL,CUI,PJ002B","J8","1","C381115"
"RESISTOR,1K,1%,100mW,0603 (1608)","R2, R22","2","C21190"
"RESISTOR,4K7,1%,100mW,0603 (1608)","R3, R4, R5, R6, R7, R8, R9, R10, R46, R47","10","C23162"
"RESISTOR,10K,1%,100mW,0603 (1608)","R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24, R25, R26, R35, R36, R37, R38, R39, R43, R44, R45","23","C25804"
"RESISTOR,470R,1%,100mW,0603 (1608)","R27, R28, R29, R30, R31, R32, R33, R34, R40, R41, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61","23","C23179"
"RESISTOR,27R,1%,100mW,0603 (1608)","R42","1","C137753"
"RESISTOR,12K,1%,100mW,0603 (1608)","R48","1","C22790"
"SWITCH,TACT,SMD,2PIN,SMT,TOP ACTUATOR","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8","8","C720477"
"SWITCH,ENCODER+CLICK,12 DETENTS,30mm,BOURNS,PEC12R-4130F-S0012","SW9, SW10","2","C143795"
"SWITCH,SPDT,SLIDE,2.45MM,WURTH-450301014042","SW11","1","C2985934"
"IC,LOGIC,CPLD,ALTERA,5M570-TQFP100","U1","1","C1521119"
"IC,XCVR,USB UART,DUAL,FTDI,FT2232H,QFP64","U2","1","C27882"
"IC,VOLTAGE REG,LIN,POSITIVE,3V3,NCP1117-33,SOT223","U3","1","C26537"
"IC,EEPROM,2KBIT,MICROWIRE,MICROCHIP,93LC56BT-I/OT","U4","1","C190271"
"IC,VOLTAGE REG,LIN,POSITIVE,1V8,NCP1117-18,SOT223","U5","1","C2902118"
"IC,ANALOG,4PDT ANALOG SWITCH,ONSEMI,NLV14551,SO16","U6","1","C904812"
"XOSC,12MHz,3225","X1","1","C49207924"
