Altium Designer Pick and Place Locations
C:\GitHub\AVR64DA64-Breakout\CAD\.\Production\Pick Place for AVR64DA64-BREAKOUT(AVR64DA64-BREAKOUT-JLCPCB).csv

========================================================================================================================
File Design Information:

Date:       20/09/25
Time:       10:08
Revision:   Not in VersionControl
Variant:    AVR64DA64-BREAKOUT-JLCPCB
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R47","RESC0603","TopLayer","RESC0603","1456.693","-2178.150","0","RESISTOR,470R,1%,100mW,0603 (1608)"
"R45","RESC0603","TopLayer","RESC0603","1305.118","-14.764","90","RESISTOR,1K,1%,100mW,0603 (1608)"
"R44","RESC0603","TopLayer","RESC0603","1524.606","193.898","0","RESISTOR,10K,1%,100mW,0603 (1608)"
"R43","RESC0603","TopLayer","RESC0603","1311.024","194.882","0","RESISTOR,1K,1%,100mW,0603 (1608)"
"Q1","AO3401","TopLayer","SOT23","1647.638","61.024","270","XSTR,PMOS,30V,4A,AO3401,SOT23"
"L1","10uH","TopLayer","CAPC0603","1507.874","-104.331","90","IND,4u7H,0.6A,0603, LLQM18PN4R7MFRL"
"D14","BAV99","TopLayer","SOT23","1647.638","-95.472","90","DIODE,75V,215mA,SOT23,LOW LEAKAGE"
"C40","CAP0603","TopLayer","CAPC0603","1630.906","193.898","180","CAPACITOR,CERAMIC,100nF,50V,X7R,0603"
"C39","CAP0603","TopLayer","CAPC0603","1378.937","-156.496","180","CAPACITOR,CERAMIC,4u7,16V,X5R,0603"
"C38","CAP0603","TopLayer","CAPC0603","1507.874","-210.630","270","CAPACITOR,CERAMIC,4u7,16V,X5R,0603"
"C37","CAP0603","TopLayer","CAPC0603","1416.339","69.882","180","CAPACITOR,CERAMIC,4u7,16V,X5R,0603"
"C36","CAP0603","TopLayer","CAPC0603","1416.339","131.890","180","CAPACITOR,CERAMIC,4u7,16V,X5R,0603"
"C35","CAP0603","TopLayer","CAPC0603","1755.906","1271.653","90","CAPACITOR,CERAMIC,4u7,16V,X5R,0603"
"C34","CAP0603","TopLayer","CAPC0603","2316.929","1276.575","90","CAPACITOR,CERAMIC,4u7,16V,X5R,0603"
