Altium Designer Pick and Place Locations
C:\GitHub\CPLD-Board-V\CAD\.\Production\Production JLCPCB\Pick Place for CPLD-V(NOTH).txt

========================================================================================================================
File Design Information:

Date:       13/11/25
Time:       19:52
Revision:   9faa9df1a2628afc21e3bea7032ed5c61fd4701a
Variant:    NOTH
Units used: mil

Designator Comment                      Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                          
R61        RESC0603                     TopLayer RESC0603                     566.929       -161.417      270      "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R60        RESC0603                     TopLayer RESC0603                     629.921       -161.417      270      "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R59        RESC0603                     TopLayer RESC0603                     -524.606      -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R58        RESC0603                     TopLayer RESC0603                     -375.000      -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R57        RESC0603                     TopLayer RESC0603                     -225.394      -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R56        RESC0603                     TopLayer RESC0603                     -75.256       -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R55        RESC0603                     TopLayer RESC0603                     74.803        -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R54        RESC0603                     TopLayer RESC0603                     225.394       -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R53        RESC0603                     TopLayer RESC0603                     375.000       -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R52        RESC0603                     TopLayer RESC0603                     525.591       -1448.347     90       "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R51        RESC0603                     TopLayer RESC0603                     685.039       -1291.339     180      "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R50        RESC0603                     TopLayer RESC0603                     -653.543      -1163.386     0        "RESISTOR,470R,1%,100mW,0603 (1608)"                 
R49        RESC0603                     TopLayer RESC0603                     -653.543      -1291.339     0        "RESISTOR,470R,1%,100mW,0603 (1608)"                 
U4         93LC56BT-I/OT                TopLayer SOT23-6                      -70.866       708.661       270      IC,EEPROM,2KBIT,MICROWIRE,MICROCHIP,93LC56BT-I/OT    
R48        RESC0603                     TopLayer RESC0603                     -186.024      1499.016      90       "RESISTOR,12K,1%,100mW,0603 (1608)"                  
FB2        FB0603                       TopLayer FB0603                       -121.063      1622.244      90       FERRITE,1KZ@100MHz,0R2DC,0603                        
FB1        FB0603                       TopLayer FB0603                       -409.449      1602.559      90       FERRITE,1KZ@100MHz,0R2DC,0603                        
C44        CAP0603                      TopLayer CAPC0603                     -484.252      858.268       0        CAPACITOR,CERAMIC,100nF,50V,X7R,0603                 
C43        CAP0603                      TopLayer CAPC0603                     -124.016      1499.016      90       CAPACITOR,CERAMIC,100nF,50V,X7R,0603                 
C42        CAP0603                      TopLayer CAPC0603                     -62.008       1499.016      90       CAPACITOR,CERAMIC,4u7,16V,X5R,0603                   
C41        CAP0603                      TopLayer CAPC0603                     -286.417      1499.016      90       CAPACITOR,CERAMIC,100nF,50V,X7R,0603                 
C40        CAP0603                      TopLayer CAPC0603                     -347.441      1499.016      90       CAPACITOR,CERAMIC,4u7,16V,X5R,0603                   
U5         NCP1117-1V8                  TopLayer SOT223-4N                    440.000       740.000       0        "IC,VOLTAGE REG,LIN,POSITIVE,1V8,NCP1117-18,SOT223"  
U3         NCP1117-3V3                  TopLayer SOT223-4N                    440.000       1220.000      0        "IC,VOLTAGE REG,LIN,POSITIVE,3V3,NCP1117-33,SOT223"  
U6         IC-ONSEMI-NLV14551B          TopLayer SO127P600-16N                -476.378      671.260       90       "IC,ANALOG,4PDT ANALOG SWITCH,ONSEMI,NLV14551,SO16"  
